group,metric,no_label,hybrid_label,gold_label
sentence,BLEU,93.32,95.42,95.66
sentence,exact_match,678,753,759
sentence,no_change_total,481,544,541
sentence,no_change_clean,463,525,527
sentence,no_change_dirty,18,19,14
sentence,rate_clean,0.7268,0.8242,0.8273
sentence,rate_dirty,0.0496,0.0523,0.0386
overall,TP,360,361,367
overall,FP,570,296,289
overall,FN,54,43,35
overall,TN,15655,15888,15892
overall,precision,0.3871,0.5495,0.5595
overall,recall,0.8696,0.8936,0.9129
overall,F1,0.5357,0.6805,0.6938
overall,F0.5,0.4354,0.5953,0.6064
CAP,TP,124,125,126
CAP,FP,3,5,5
CAP,FN,9,6,5
CAP,precision,0.9764,0.9615,0.9618
CAP,recall,0.9323,0.9542,0.9618
CAP,F1,0.9538,0.9579,0.9618
CAP,F0.5,0.9672,0.9601,0.9618
COMP,TP,182,178,182
COMP,FP,16,25,26
COMP,FN,16,11,6
COMP,precision,0.9192,0.8768,0.875
COMP,recall,0.9192,0.9418,0.9681
COMP,F1,0.9192,0.9082,0.9192
COMP,F0.5,0.9192,0.8891,0.8922
DECL,TP,54,58,59
DECL,FP,10,9,10
DECL,FN,29,26,24
DECL,precision,0.8438,0.8657,0.8551
DECL,recall,0.6506,0.6905,0.7108
DECL,F1,0.7347,0.7682,0.7763
DECL,F0.5,0.7965,0.8239,0.8217
labels,KEEP_CORR,13552,13744,13749
labels,KEEP_SUB,291,167,161
labels,KEEP_DEL,98,30,31
labels,INS,51,14,13
labels,KEEP_PUNCT_CORR,2103,2144,2143
labels,KEEP_PUNCT_SUB,13,3,3
labels,KEEP_PUNCT_DEL,50,19,20
labels,PUNCT_INS,38,24,20
labels,CAP_CORR,124,125,126
labels,CAP_KEPT,4,5,5
labels,CAP_SUB,3,5,5
labels,CAP_DEL,5,1,0
labels,COMP_CORR,182,178,182
labels,COMP_KEPT,12,9,5
labels,COMP_SUB,16,25,26
labels,COMP_DEL,4,2,1
labels,DECL_CORR,54,58,59
labels,DECL_KEPT,29,26,24
labels,DECL_SUB,10,9,10
labels,DECL_DEL,0,0,0
